entity_type,id,entity_key,status
sector,c1ff8dfa-c4f0-558a-902d-b410588a37e9,sector:industry_nonferrous_new_materials,active
sector,ec4e81e9-f640-5eb9-9e9c-a6a02d533446,sector:industry_oil_gas_refining,active
sector,e40c5e8f-6490-50f3-b88d-aac68ac3df8d,sector:industry_pharma_biotech,active
sector,cc2d54c3-90b1-575c-b3b2-f4a136284990,sector:industry_power_equipment_batteries,active
sector,b2a1f0b7-c075-531a-9a58-529420c50fd7,sector:industry_power_utilities,active
sector,0b198ebc-f41b-5158-ada3-b0843210238f,sector:industry_real_estate_property,active
sector,9d0a6f19-4e2a-5c3b-9c99-e9d2a12cd396,sector:industry_securities_insurance,active
sector,23754c96-2b2e-56b7-9c7e-a224a455693a,sector:industry_semiconductors_electronics,active
sector,57b62efe-c04e-5129-9d0c-b0f7c12352a3,sector:industry_software_communications,active
sector,fefe6639-670c-5cfa-92b5-8f9880bea933,sector:industry_star_advanced_equipment,active
sector,73f36ee2-b4d5-50b5-88c8-204f9d2b56bb,sector:industry_star_biomedicine,active
sector,bfe4ca9f-c476-551e-9791-ffc4ba767695,sector:industry_star_chip_design,active
sector,6c5e80d0-e1c0-5bac-868e-0e4c87a019f1,sector:industry_star_industrial_machinery,active
sector,31ed648e-a2c4-5803-ae48-77f5dc5283a8,sector:industry_star_new_materials,active
sector,8edae44d-bbd9-58c1-ad81-84ae07b90645,sector:industry_star_semiconductor_materials_equipment,active
sector,0d2c1f0a-711f-541c-b7ea-5af2aea5c512,sector:industry_transportation_logistics,active
sector,84bc235f-f6da-500d-9649-9247c8509482,sector:theme_advanced_energy_storage,active
sector,233691fa-f611-5adc-adb8-b44e4e6b1755,sector:theme_advanced_medical_devices,active
sector,876a98e8-6618-5459-a9cf-1e98a5a174e5,sector:theme_artificial_intelligence,active
sector,6518bcf4-07e7-5433-9eb2-b8773103b436,sector:theme_commercial_space_satellite,active
sector,061d9f6d-3100-5aac-9513-8553e9d9c7a7,sector:theme_computing_infrastructure,active
sector,bb67b047-c029-5725-abaf-8d2184555f77,sector:theme_cyber_data_security,active
sector,13feefee-a50e-57c2-a52c-8cb7fc7b9161,sector:theme_data_centers_cloud,active
sector,869d085e-7ed7-50ab-b130-9153d2c4ed83,sector:theme_digital_economy_data_elements,active
sector,3630687d-7baf-51a5-9bee-284ca91f2bdc,sector:theme_general_aviation_industry,active
sector,2b774cce-4985-5db1-a8d8-935e4e082b8e,sector:theme_hydrogen_energy,active
sector,4b4c6225-1a37-5965-a7ef-af1f24f5d725,sector:theme_innovative_drugs,active
sector,06d9df0b-d0ed-5692-b396-6fb304197cd0,sector:theme_intelligent_connected_nev,active
sector,24ff3723-0eeb-58c6-96aa-a4b2271d4a03,sector:theme_low_altitude_economy,active
sector,0b82682c-00df-5624-b57b-a1d9a6d4da4b,sector:theme_next_generation_batteries,active
sector,989fe196-4603-50c0-bb82-dcdb274f288e,sector:theme_nuclear_advanced_energy,active
sector,36c4ae5e-9591-521a-b7e0-92486efbe9b1,sector:theme_robotics_embodied_ai,active
sector,a7335bc8-6ccd-5b97-8147-0ce341b2959b,sector:theme_satellite_communications_navigation,active
sector,e800ba8b-17b2-5464-b022-2378dc4e7e28,sector:theme_semiconductor_resilience,active
sector,14fa3b5c-130d-56d3-a24a-5a1d89d91bc3,sector:theme_silver_economy,active
sector,92fb7f94-53b4-51b1-812e-bd3c1c3703e2,sector:theme_smart_grid,active
sector,8addfff7-72f1-5de6-b247-d4c3f9bacd77,sector:theme_soe_reform_technology,active
sector,0432eca1-a2c7-51dc-8f3e-ce0f71e8df34,sector:theme_star_new_energy,active
sector,8cf43c94-3f69-5536-9ddc-f3271b3916e8,sector:theme_wind_solar_equipment,active
sector,bab5f365-cfe1-5f40-aa8a-cc2065126edf,sector:ths_concept_ai,inactive
sector,949e41b7-7ecb-5543-a92c-678f345dc0cb,sector:ths_concept_chip,inactive
sector,ba1f9c28-512e-51e2-8ce0-f4efb86f59e3,sector:ths_concept_commercial_space,inactive
sector,1cd04239-8508-54ce-be33-aab159b10c99,sector:ths_concept_compute_power,inactive
sector,c7bdc0ba-658e-5c2c-a632-c7992e65b988,sector:ths_concept_cross_border_ecommerce,inactive
sector,556ef0cf-37b4-547c-8f91-fa1fc54b3972,sector:ths_concept_data_center,inactive
sector,6774db74-083f-5886-a845-4ef837d37143,sector:ths_concept_defense,inactive
sector,43d3696e-1e5f-5548-9f96-2a4c2ab57a75,sector:ths_concept_digital_currency,inactive
sector,8b7cdc9e-dd1c-5e87-97c0-a8d387cd5266,sector:ths_concept_energy_storage,inactive
sector,7c0db334-29cf-5c27-814e-d1cc58c8c9f9,sector:ths_concept_hydrogen,inactive
sector,95779d34-0dca-5312-b2fd-c2afc6149028,sector:ths_concept_low_altitude,inactive
sector,a2d7e654-7467-5bb7-9cf3-fdf75544d406,sector:ths_concept_nev,inactive
sector,6298f2fa-745c-554c-b03f-3e13d3f654b1,sector:ths_concept_nuclear_power,inactive
sector,06aa0594-116f-5ec1-a133-11d563b60638,sector:ths_concept_photovoltaic,inactive
sector,c0e9792f-9cba-5a3f-b430-52c2bcb4e632,sector:ths_concept_robot,inactive
sector,11ed722d-0943-5664-b443-736afde3a83e,sector:ths_concept_satellite_nav,inactive
sector,f8c29833-4da9-5468-beab-90599e8a9565,sector:ths_concept_semiconductor,inactive
sector,b59947d4-865d-52f3-8bef-41cc3d3419f1,sector:ths_concept_soe_reform,inactive
sector,eb409960-2b86-57a7-9772-28f07e99bc5a,sector:ths_concept_solid_state_battery,inactive
sector,4c7ad84d-82de-59a3-a296-77b47a21f76c,sector:ths_concept_wind_power,inactive
sector,567245d7-7736-5e9b-8f72-acdc8350af00,sector:ths_index_bse50,inactive
sector,d4268940-4aa6-5343-8831-1fcc317bc42a,sector:ths_index_cctv50,inactive
sector,578db6e0-16dc-50bf-b672-420ea8a9068b,sector:ths_index_chinext50,inactive
sector,8d93908f-bef2-54a0-9faf-cb3f836db480,sector:ths_index_cni2000,inactive
sector,f166fd24-393c-5826-b398-bd0d3f072b55,sector:ths_index_csi1000,inactive
sector,f25941bd-0951-5ec1-9d8e-291ae0e9a2a9,sector:ths_index_csi300,inactive
sector,42d6680f-36e0-55c5-8783-82bbc9940454,sector:ths_index_csi500,inactive
sector,d8ef2705-4475-5439-abf0-44b7b8db1600,sector:ths_index_csi_a500,inactive
sector,9257d5ac-8abd-5b2f-89a0-0aace9f2a14b,sector:ths_index_csi_all,inactive
sector,ee9ff7dd-006a-57b8-a6ca-c7cdafb74446,sector:ths_index_csi_dividend,inactive
sector,6d852b3c-31eb-50bc-ad67-469f0301cebb,sector:ths_index_hsi,inactive
sector,59389284-6ff3-54df-8ec1-4850594c49bd,sector:ths_index_hstech,inactive
sector,58468334-82f4-522f-a280-06c93c527e34,sector:ths_index_msci_china_a50,inactive
sector,6068f87d-8be5-58e3-97de-01674bd5da61,sector:ths_index_ndx,inactive
sector,d771d1fc-bf29-5424-b35e-36dcab91d959,sector:ths_index_sox,inactive
sector,a701cb0b-8f72-5b2f-82cf-57e7517dcc15,sector:ths_index_sp500,inactive
sector,84ad0cc3-37a5-5b4a-9bb7-4d566c4b41de,sector:ths_index_sse50,inactive
sector,188e65af-c516-5681-80d8-611e22864289,sector:ths_index_star50,inactive
sector,6b1fa664-cb29-521b-adf9-6b08ee69c99e,sector:ths_index_szse100,inactive
sector,b121e665-ee82-518e-a5bb-023a72180cb4,sector:ths_index_wind_all_a,inactive
sector,7bd8a3d9-155f-5328-9c2f-f1891b998e3d,sector:ths_industry_auto,inactive
sector,3066a74c-0cd7-5042-8860-f14f76bfc2cc,sector:ths_industry_auto_parts,inactive
sector,43e69978-6148-5792-b1cc-d3dce1d56998,sector:ths_industry_bank,inactive
